Data Set,Duration,Speakers,Overlapping Speech,SNR,File
MSDWild Few,0.461,4,4,18,00233
MSDWild Few,0.459,2,6,6,00683
MSDWild Few,0.991,2,2,8,01764
MSDWild Few,1.068,2,4,40,01136
MSDWild Few,1.295,2,0,32,02830
MSDWild Few,1.463,2,1,8,00677
MSDWild Few,0.361,4,1,14,03014
MSDWild Few,0.538,3,0,9,01320
MSDWild Few,2.933,2,2,25,01487
MSDWild Few,0.457,2,0,3,00560
MSDWild Few,0.347,2,0,5,02869
MSDWild Few,0.492,3,10,1,02249
MSDWild Few,0.456,3,4,13,00332
MSDWild Few,1.57,2,5,18,02316
MSDWild Few,0.62,3,0,10,02544
MSDWild Few,0.471,3,28,12,02595
MSDWild Few,2.392,2,9,13,00567
MSDWild Few,0.42,3,16,20,01327
MSDWild Few,1.647,2,3,14,01509
MSDWild Few,0.558,2,10,15,02536
MSDWild Few,0.336,3,2,5,02944
MSDWild Few,2.449,2,1,43,02621
MSDWild Few,0.778,2,0,46,01909
MSDWild Few,0.889,2,6,5,01329
MSDWild Few,1.547,2,2,17,02364
MSDWild Few,0.719,2,0,5,00431
MSDWild Few,0.557,3,20,9,00347
MSDWild Few,2.704,2,1,14,02412
MSDWild Few,0.524,2,7,14,01617
MSDWild Few,0.515,2,93,-2,00844
MSDWild Few,0.467,2,2,25,01500
MSDWild Few,0.557,3,13,5,02867
MSDWild Few,0.405,3,4,20,02074
MSDWild Few,0.438,3,8,8,01424
MSDWild Few,0.704,2,3,2,02150
MSDWild Few,0.382,2,0,31,02469
MSDWild Few,0.372,3,4,8,02852
MSDWild Few,0.553,3,3,5,02883
MSDWild Few,0.492,2,0,14,01070
MSDWild Few,1.4,4,4,6,02976
MSDWild Few,0.536,2,4,20,01549
MSDWild Few,0.349,2,3,24,03054
MSDWild Few,0.408,2,3,11,00190
MSDWild Few,1.651,2,0,0,02971
MSDWild Few,0.557,3,8,6,01688
MSDWild Few,1.055,2,0,2,02380
MSDWild Few,1.636,2,0,20,01182
MSDWild Few,0.703,2,10,5,01418
MSDWild Few,8.651,2,0,31,01540
MSDWild Few,0.487,3,12,6,01236
MSDWild Few,1.676,4,4,9,01657
MSDWild Few,0.759,4,0,6,00017
MSDWild Few,0.641,2,2,7,00133
MSDWild Few,1.265,4,23,9,02110
MSDWild Few,0.84,3,8,7,00583
MSDWild Few,0.846,4,14,13,00134
MSDWild Few,0.387,3,0,3,01774
MSDWild Few,0.465,2,0,0,01002
MSDWild Few,0.895,3,16,7,01998
MSDWild Few,0.713,4,5,7,02978
MSDWild Few,0.345,2,1,4,02452
MSDWild Few,1.206,3,16,10,01989
MSDWild Few,0.631,2,0,1,02567
MSDWild Few,1.141,2,5,13,00682
MSDWild Few,0.873,4,11,11,02785
MSDWild Few,1.459,3,16,8,01137
MSDWild Few,0.996,2,1,39,01378
MSDWild Few,4.014,3,1,29,01719
MSDWild Few,1.692,2,4,10,00770
MSDWild Few,2.718,2,3,28,01697
MSDWild Few,0.338,3,0,10,00628
MSDWild Few,0.568,3,0,18,00298
MSDWild Few,0.362,4,30,11,00235
MSDWild Few,1.485,2,0,13,02960
MSDWild Few,2.954,2,1,5,01407
MSDWild Few,0.723,2,14,20,01875
MSDWild Few,0.844,3,17,2,02605
MSDWild Few,0.538,2,1,6,01980
MSDWild Few,0.918,2,7,-2,02340
MSDWild Few,0.927,2,5,2,02057
MSDWild Few,0.343,2,6,15,01951
MSDWild Few,0.898,2,0,10,01284
MSDWild Few,0.568,2,0,13,00073
MSDWild Few,1.147,2,1,13,02081
MSDWild Few,0.368,2,1,14,00705
MSDWild Few,0.91,2,0,11,02515
MSDWild Few,0.966,2,5,28,02967
MSDWild Few,0.415,2,0,21,00240
MSDWild Few,0.353,3,7,4,01511
MSDWild Few,1.179,2,8,16,01170
MSDWild Few,0.495,2,0,16,00427
MSDWild Few,0.622,2,17,1,00668
MSDWild Few,0.344,2,11,32,02019
MSDWild Few,1.153,2,0,9,02190
MSDWild Few,0.815,2,2,13,00614
MSDWild Few,1.56,3,35,1,02768
MSDWild Few,0.911,2,9,17,01725
MSDWild Few,0.402,2,7,7,03070
MSDWild Few,0.411,2,11,1,01344
MSDWild Few,0.404,2,3,10,02984
MSDWild Few,0.405,2,0,1,01432
MSDWild Few,4.657,2,12,24,02062
MSDWild Few,0.422,3,33,9,00090
MSDWild Few,0.819,2,0,4,00852
MSDWild Few,0.357,4,10,14,00387
MSDWild Few,3.092,2,2,12,01788
MSDWild Few,0.394,2,0,10,00745
MSDWild Few,0.488,2,45,0,02766
MSDWild Few,0.737,2,28,1,00200
MSDWild Few,0.832,2,8,14,02693
MSDWild Few,0.88,4,14,3,00099
MSDWild Few,0.587,4,2,5,00571
MSDWild Few,0.353,2,3,9,00666
MSDWild Few,0.486,4,20,8,01674
