Data Set,Duration,Speakers,Overlapping Speech,SNR,File
VoxConverse,4.377,13,1,27,aggyz
VoxConverse,20.001,13,0,12,jbowg
VoxConverse,2.871,6,0,38,zehzu
VoxConverse,2.18,5,3,33,mbzht
VoxConverse,20.001,6,0,25,cvofp
VoxConverse,1.433,1,0,49,jxydp
VoxConverse,13.855,4,9,23,sexgc
VoxConverse,20.001,7,0,11,zedtj
VoxConverse,5.107,2,0,16,xtdcl
VoxConverse,4.819,11,1,31,mclsr
VoxConverse,20.001,12,0,12,mkhie
VoxConverse,20.001,3,0,41,ylgug
VoxConverse,14.53,1,0,12,gwloo
VoxConverse,20.001,7,3,19,jdrwl
VoxConverse,20.001,10,2,31,thnuq
VoxConverse,7.503,3,2,15,fxnwf
VoxConverse,14.469,6,3,36,fowhl
VoxConverse,10.166,4,3,20,oubab
VoxConverse,20.001,2,1,27,lkikz
VoxConverse,17.165,11,10,25,bidnq
VoxConverse,13.546,9,6,26,ktvto
VoxConverse,10.021,14,3,27,usqam
VoxConverse,16.503,6,1,35,duvox
VoxConverse,16.945,13,6,24,pwnsw
VoxConverse,17.058,6,4,29,xffsa
VoxConverse,14.873,8,4,30,uhfrw
VoxConverse,2.342,8,6,30,kpjud
VoxConverse,10.214,7,3,29,pzxit
VoxConverse,20.001,6,1,23,wwvcs
VoxConverse,14.383,7,4,20,lscfc
VoxConverse,2.99,3,2,22,iabca
VoxConverse,20.001,8,0,12,iowob
VoxConverse,20.001,9,0,14,cawnd
VoxConverse,3.965,4,1,33,oqwpd
VoxConverse,3.307,4,1,29,ljpes
VoxConverse,5.068,2,3,9,laoyl
VoxConverse,20.001,7,0,14,uedkc
VoxConverse,4.369,2,0,37,tkhgs
VoxConverse,5.061,8,2,33,hcyak
VoxConverse,20.001,6,6,29,vuewy
VoxConverse,8.531,11,2,20,wlfsf
VoxConverse,5.312,9,0,36,clfcg
VoxConverse,20.001,4,1,25,vdlvr
VoxConverse,3.494,2,0,36,ltgmz
VoxConverse,7.834,15,0,23,byapz
VoxConverse,13.017,11,3,27,dgvwu
VoxConverse,8.784,7,3,9,jxpom
VoxConverse,3.613,2,2,32,olzkb
VoxConverse,5.143,8,1,16,qadia
VoxConverse,20.001,2,3,35,gcvrb
VoxConverse,2.634,4,0,34,isxwc
VoxConverse,11.644,9,10,10,ptses
VoxConverse,20.001,6,0,41,tkybe
VoxConverse,0.434,3,0,11,fuzfh
VoxConverse,5.484,5,5,32,rpkso
VoxConverse,11.849,5,4,16,bmsyn
VoxConverse,20.001,2,2,37,zfzlc
VoxConverse,16.762,1,0,25,svxzm
VoxConverse,17.55,7,3,26,bpzsc
VoxConverse,20.001,8,0,15,xggbk
VoxConverse,2.594,3,33,19,wcxfk
VoxConverse,6.701,4,7,20,nprxc
VoxConverse,13.165,8,4,27,tbjqx
VoxConverse,2.974,1,0,39,ppexo
VoxConverse,1.726,2,0,38,rmvsh
VoxConverse,3.187,5,1,25,lilfy
VoxConverse,11.184,1,0,49,cpebh
VoxConverse,5.148,15,0,27,uqxlg
VoxConverse,20.001,7,0,32,hhepf
VoxConverse,11.216,6,5,34,yukhy
VoxConverse,15.344,17,6,26,qajyo
VoxConverse,19.648,15,11,24,diysk
VoxConverse,20.001,7,0,17,iiprr
VoxConverse,15.186,2,0,41,crorm
VoxConverse,20.001,7,0,13,lhuly
VoxConverse,20.001,9,0,22,jgiyq
VoxConverse,15.923,15,1,10,kajfh
VoxConverse,3.132,4,1,17,crylr
